filename	text
img_1753076659_0000_frag_0000.png	Съешь
img_1753076670_0000_frag_0001.png	же
img_1753076676_0000_frag_0002.png	ещё
img_1753076682_0000_frag_0003.png	этих
img_1753076690_0000_frag_0004.png	мягких
img_1753076700_0000_frag_0005.png	французских
img_1753076710_0000_frag_0006.png	булок
img_1753076717_0000_frag_0007.png	да
img_1753076723_0000_frag_0008.png	выпей
img_1753076729_0000_frag_0009.png	чаю
img_1753082321_0000_frag_0000.png	Нет
img_1753083167_0000_frag_0001.png	поговорить
img_1753083188_0000_frag_0003.png	с
img_1753083194_0000_frag_0004.png	вами.
img_1753083216_0000_frag_0006.png	Я
img_1753083234_0000_frag_0007.png	уже
img_1753083252_0000_frag_0009.png	второй
img_1753083272_0000_frag_0010.png	день
img_1753083290_0000_frag_0011.png	этот
img_1753083325_0000_frag_0012.png	написать
img_1753083373_0000_frag_0015.png	но
img_1753083387_0000_frag_0016.png	удаляю.
img_1753083410_0000_frag_0017.png	В
img_1753083426_0000_frag_0018.png	общем,
img_1753083458_0000_frag_0020.png	ситуация
img_1753083495_0000_frag_0021.png	Я
img_1753083506_0000_frag_0022.png	пыталась
img_1753083530_0000_frag_0023.png	неделю
img_1753083543_0000_frag_0024.png	снять
img_1753083556_0000_frag_0025.png	халявщики,
img_1753083586_0000_frag_0026.png	разные
img_1753083600_0000_frag_0027.png	идеи
img_1753083622_0000_frag_0029.png	чтобы
img_1753083631_0000_frag_0030.png	прошлые
img_1753083645_0000_frag_0031.png	не
img_1753083657_0000_frag_0033.png	повторять,
img_1753083670_0000_frag_0034.png	но
img_1753083678_0000_frag_0035.png	вообще
img_1753083688_0000_frag_0036.png	ничего
img_1753083697_0000_frag_0037.png	интересного
img_1753083708_0000_frag_0038.png	не
img_1753083724_0000_frag_0039.png	смогла
img_1753083734_0000_frag_0040.png	сделать.
